Time,Species,Count
83.36457,Rabbit,10
84.49746,Plant,0
84.49746,Rabbit,10
85.61418,Plant,0
85.61418,Rabbit,10
86.62944,Plant,0
86.62944,Rabbit,10
87.75807,Plant,0
87.75807,Rabbit,10
88.85587,Plant,0
88.85587,Rabbit,10
89.88801,Plant,0
89.88801,Rabbit,10
91.0098,Plant,0
91.0098,Rabbit,10
92.11485,Plant,0
92.11485,Rabbit,10
93.17872,Plant,0
93.17872,Rabbit,10
94.27473,Plant,0
94.27473,Rabbit,10
95.46509,Plant,0
95.46509,Rabbit,10
96.5108,Plant,0
96.5108,Rabbit,10
97.66232,Plant,0
97.66232,Rabbit,10
98.71294,Plant,0
98.71294,Rabbit,10
99.71714,Plant,0
99.71714,Rabbit,10
100.7567,Plant,0
100.7567,Rabbit,10
101.9015,Plant,0
101.9015,Rabbit,10
102.993,Plant,0
102.993,Rabbit,10
104.1693,Plant,0
104.1693,Rabbit,10
105.3056,Plant,0
105.3056,Rabbit,10
106.3833,Plant,0
106.3833,Rabbit,10
107.5859,Plant,0
107.5859,Rabbit,10
108.6462,Plant,0
108.6462,Rabbit,10
109.6598,Plant,0
109.6598,Rabbit,10
110.6859,Plant,0
110.6859,Rabbit,10
111.7736,Plant,0
111.7736,Rabbit,10
112.8967,Plant,0
112.8967,Rabbit,10
114.0957,Plant,0
114.0957,Rabbit,10
115.1715,Plant,0
115.1715,Rabbit,10
116.3862,Plant,0
116.3862,Rabbit,10
117.4634,Plant,0
117.4634,Rabbit,10
118.5927,Plant,0
118.5927,Rabbit,10
119.6425,Plant,0
119.6425,Rabbit,10
120.7166,Plant,0
120.7166,Rabbit,10
121.8584,Plant,0
121.8584,Rabbit,10
123.0116,Plant,0
123.0116,Rabbit,10
124.1355,Plant,0
124.1355,Rabbit,10
125.3104,Plant,0
125.3104,Rabbit,10
126.4322,Plant,0
126.4322,Rabbit,10
127.564,Plant,0
127.564,Rabbit,10
128.7115,Plant,0
128.7115,Rabbit,10
129.8675,Plant,0
129.8675,Rabbit,10
131.0652,Plant,0
131.0652,Rabbit,10
132.1443,Plant,0
132.1443,Rabbit,10
133.2682,Plant,0
133.2682,Rabbit,10
134.4252,Plant,0
134.4252,Rabbit,10
135.4405,Plant,0
135.4405,Rabbit,10
136.551,Plant,0
136.551,Rabbit,10
137.5853,Plant,0
137.5853,Rabbit,10
138.7069,Plant,0
138.7069,Rabbit,10
139.801,Plant,0
139.801,Rabbit,10
140.8466,Plant,0
140.8466,Rabbit,10
141.9399,Plant,0
141.9399,Rabbit,10
143.0586,Plant,0
143.0586,Rabbit,10
144.1025,Plant,0
144.1025,Rabbit,10
145.2051,Plant,0
145.2051,Rabbit,10
146.3424,Plant,0
146.3424,Rabbit,10
147.3626,Plant,0
147.3626,Rabbit,10
148.4436,Plant,0
148.4436,Rabbit,10
149.5744,Plant,0
149.5744,Rabbit,10
150.7973,Plant,0
150.7973,Rabbit,10
151.8652,Plant,0
151.8652,Rabbit,10
153.0773,Plant,0
153.0773,Rabbit,10
154.1578,Plant,0
154.1578,Rabbit,10
155.3374,Plant,0
155.3374,Rabbit,10
156.4392,Plant,0
156.4392,Rabbit,10
157.5681,Plant,0
157.5681,Rabbit,10
158.5749,Plant,0
158.5749,Rabbit,10
159.7273,Plant,0
159.7273,Rabbit,10
160.8595,Plant,0
160.8595,Rabbit,10
162.0259,Plant,0
162.0259,Rabbit,10
163.1589,Plant,0
163.1589,Rabbit,10
164.292,Plant,0
164.292,Rabbit,10
165.3518,Plant,0
165.3518,Rabbit,10
166.4133,Plant,0
166.4133,Rabbit,10
167.5613,Plant,0
167.5613,Rabbit,10
168.5706,Plant,0
168.5706,Rabbit,10
169.6897,Plant,0
169.6897,Rabbit,10
170.8148,Plant,0
170.8148,Rabbit,10
171.8651,Plant,0
171.8651,Rabbit,10
172.9644,Plant,0
172.9644,Rabbit,10
174.0989,Plant,0
174.0989,Rabbit,10
175.1354,Plant,0
175.1354,Rabbit,10
176.2512,Plant,0
176.2512,Rabbit,10
177.3543,Plant,0
177.3543,Rabbit,10
178.3773,Plant,0
178.3773,Rabbit,10
179.4717,Plant,0
179.4717,Rabbit,10
180.6048,Plant,0
180.6048,Rabbit,10
181.6393,Plant,0
181.6393,Rabbit,10
182.7608,Plant,0
182.7608,Rabbit,10
183.8932,Plant,0
183.8932,Rabbit,10
184.9051,Plant,0
184.9051,Rabbit,10
186.0287,Plant,0
186.0287,Rabbit,10
187.1158,Plant,0
187.1158,Rabbit,10
188.2662,Plant,0
188.2662,Rabbit,10
189.4049,Plant,0
189.4049,Rabbit,10
190.6171,Plant,0
190.6171,Rabbit,10
191.7019,Plant,0
191.7019,Rabbit,10
192.8304,Plant,0
192.8304,Rabbit,10
193.975,Plant,0
193.975,Rabbit,10
195.1074,Plant,0
195.1074,Rabbit,10
196.2673,Plant,0
196.2673,Rabbit,10
197.4264,Plant,0
197.4264,Rabbit,10
198.5447,Plant,0
198.5447,Rabbit,10
199.7545,Plant,0
199.7545,Rabbit,10
200.8208,Plant,0
200.8208,Rabbit,10
201.9834,Plant,0
201.9834,Rabbit,10
203.1148,Plant,0
203.1148,Rabbit,10
204.2617,Plant,0
204.2617,Rabbit,10
205.3971,Plant,0
205.3971,Rabbit,10
206.5255,Plant,0
206.5255,Rabbit,10
207.747,Plant,0
207.747,Rabbit,10
208.8326,Plant,0
208.8326,Rabbit,10
209.9689,Plant,0
209.9689,Rabbit,10
211.0089,Plant,0
211.0089,Rabbit,10
212.1243,Plant,0
212.1243,Rabbit,10
213.2355,Plant,0
213.2355,Rabbit,8
214.2373,Plant,0
214.2373,Rabbit,8
215.3246,Plant,0
215.3246,Rabbit,8
216.3723,Plant,0
216.3723,Rabbit,7
217.3819,Plant,0
217.3819,Rabbit,7
218.4854,Plant,0
218.4854,Rabbit,7
219.5461,Plant,0
219.5461,Rabbit,7
220.7586,Plant,0
220.7586,Rabbit,7
221.851,Plant,0
221.851,Rabbit,7
222.9665,Plant,0
222.9665,Rabbit,7
223.9665,Plant,0
223.9665,Rabbit,7
225.1243,Plant,0
225.1243,Rabbit,6
226.2234,Plant,0
226.2234,Rabbit,6
227.2449,Plant,0
227.2449,Rabbit,4
228.3429,Plant,0
228.3429,Rabbit,4
229.4186,Plant,0
229.4186,Rabbit,4
230.5505,Plant,0
230.5505,Rabbit,4
231.6973,Plant,0
231.6973,Rabbit,4
232.822,Plant,0
232.822,Rabbit,4
233.8379,Plant,0
233.8379,Rabbit,4
235.0171,Plant,0
235.0171,Rabbit,1
236.0261,Plant,0
236.0261,Rabbit,0
237.0338,Plant,0
237.0338,Rabbit,0
238.045,Plant,0
238.045,Rabbit,0
239.1831,Plant,0
239.1831,Rabbit,0
240.2992,Plant,0
240.2992,Rabbit,0
241.5056,Plant,0
241.5056,Rabbit,0
242.5712,Plant,0
242.5712,Rabbit,0
243.6862,Plant,0
243.6862,Rabbit,0
1.522894,Plant,10
1.522894,Rabbit,10
2.573576,Plant,10
2.573576,Rabbit,10
3.672037,Plant,10
3.672037,Rabbit,10
4.710519,Plant,10
4.710519,Rabbit,10
5.815544,Plant,10
5.815544,Rabbit,10
7.066433,Plant,10
7.066433,Rabbit,10
8.155206,Plant,10
8.155206,Rabbit,10
9.203723,Plant,10
9.203723,Rabbit,10
10.27861,Plant,9
10.27861,Rabbit,10
11.28818,Plant,8
11.28818,Rabbit,10
12.53275,Plant,8
12.53275,Rabbit,10
13.59763,Plant,7
13.59763,Rabbit,10
14.66558,Plant,7
14.66558,Rabbit,10
15.99611,Plant,7
15.99611,Rabbit,10
17.20182,Plant,6
17.20182,Rabbit,10
18.40711,Plant,5
18.40711,Rabbit,10
19.53035,Plant,5
19.53035,Rabbit,10
20.53547,Plant,5
20.53547,Rabbit,10
21.65757,Plant,5
21.65757,Rabbit,10
22.6731,Plant,5
22.6731,Rabbit,10
23.84995,Plant,5
23.84995,Rabbit,10
25.04633,Plant,4
25.04633,Rabbit,10
26.24798,Plant,2
26.24798,Rabbit,10
1.109936,Plant,10
1.109936,Rabbit,10
3.453444,Plant,10
3.453444,Rabbit,10
4.568537,Plant,10
4.568537,Rabbit,10
10.49025,Plant,9
10.49025,Rabbit,10
11.70647,Plant,9
11.70647,Rabbit,10
13.96154,Plant,7
13.96154,Rabbit,10
15.06071,Plant,7
15.06071,Rabbit,10
24.32033,Plant,5
24.32033,Rabbit,10
26.60448,Plant,3
26.60448,Rabbit,10
32.99805,Plant,2
32.99805,Rabbit,10
39.82403,Plant,0
39.82403,Rabbit,10
40.83091,Plant,0
40.83091,Rabbit,10
45.3393,Plant,0
45.3393,Rabbit,10
47.41969,Plant,0
47.41969,Rabbit,10
50.63275,Plant,0
50.63275,Rabbit,10
53.15364,Plant,0
53.15364,Rabbit,10
65.56254,Plant,0
65.56254,Rabbit,10
66.57912,Plant,0
66.57912,Rabbit,10
1.766667,Plant,10
1.766667,Rabbit,10
3.019508,Plant,10
3.019508,Rabbit,10
4.197072,Plant,10
4.197072,Rabbit,10
7.350854,Plant,10
7.350854,Rabbit,10
11.54604,Plant,9
11.54604,Rabbit,10
13.76198,Plant,7
13.76198,Rabbit,10
23.40956,Plant,5
23.40956,Rabbit,10
26.51138,Plant,2
26.51138,Rabbit,10
32.63734,Plant,2
32.63734,Rabbit,10
35.69061,Plant,2
35.69061,Rabbit,10
41.90687,Plant,0
41.90687,Rabbit,10
43.95975,Plant,0
43.95975,Rabbit,10
44.99024,Plant,0
44.99024,Rabbit,10
48.08482,Plant,0
48.08482,Rabbit,10
52.23145,Plant,0
52.23145,Rabbit,10
54.26002,Plant,0
54.26002,Rabbit,10
81.91351,Plant,0
81.91351,Rabbit,10
83.95721,Plant,0
83.95721,Rabbit,10
85.03411,Plant,0
85.03411,Rabbit,10
91.15942,Plant,0
91.15942,Rabbit,10
97.2966,Plant,0
97.2966,Rabbit,10
100.3918,Plant,0
100.3918,Rabbit,10
103.491,Plant,0
103.491,Rabbit,10
107.6201,Plant,0
107.6201,Rabbit,10
118.8961,Plant,0
118.8961,Rabbit,10
140.4692,Plant,0
140.4692,Rabbit,10
144.5669,Plant,0
144.5669,Rabbit,10
150.6958,Plant,0
150.6958,Rabbit,10
152.7665,Plant,0
152.7665,Rabbit,10
154.8065,Plant,0
154.8065,Rabbit,10
165.1988,Plant,0
165.1988,Rabbit,10
176.406,Plant,0
176.406,Rabbit,10
192.8289,Plant,0
192.8289,Rabbit,10
202.1229,Plant,0
202.1229,Rabbit,10
205.1992,Plant,0
205.1992,Rabbit,10
208.2234,Plant,0
208.2234,Rabbit,10
213.4003,Plant,0
213.4003,Rabbit,8
214.443,Plant,0
214.443,Rabbit,8
220.7049,Plant,0
220.7049,Rabbit,6
227.8993,Plant,0
227.8993,Rabbit,4
251.6454,Plant,0
251.6454,Rabbit,0
254.6966,Plant,0
254.6966,Rabbit,0
264.891,Plant,0
264.891,Rabbit,0
273.0915,Plant,0
273.0915,Rabbit,0
280.2235,Plant,0
280.2235,Rabbit,0
283.2747,Plant,0
283.2747,Rabbit,0
285.3558,Plant,0
285.3558,Rabbit,0
286.3795,Plant,0
286.3795,Rabbit,0
292.7314,Plant,0
292.7314,Rabbit,0
301.9548,Plant,0
301.9548,Rabbit,0
302.9723,Plant,0
302.9723,Rabbit,0
333.6114,Plant,0
333.6114,Rabbit,0
336.6974,Plant,0
336.6974,Rabbit,0
351.9904,Plant,0
351.9904,Rabbit,0
354.0263,Plant,0
354.0263,Rabbit,0
359.2049,Plant,0
359.2049,Rabbit,0
362.2589,Plant,0
362.2589,Rabbit,0
385.6557,Plant,0
385.6557,Rabbit,0
415.2461,Plant,0
415.2461,Rabbit,0
418.3201,Plant,0
418.3201,Rabbit,0
2.215546,Plant,10
2.215546,Rabbit,10
10.64529,Plant,8
10.64529,Rabbit,10
14.62829,Plant,8
14.62829,Rabbit,10
18.74208,Plant,7
18.74208,Rabbit,10
48.31382,Plant,1
48.31382,Rabbit,10
58.48459,Plant,0
58.48459,Rabbit,10
84.97052,Plant,0
84.97052,Rabbit,10
94.0884,Plant,0
94.0884,Rabbit,10
105.3296,Plant,0
105.3296,Rabbit,10
111.4367,Plant,0
111.4367,Rabbit,10
117.507,Plant,0
117.507,Rabbit,10
120.5511,Plant,0
120.5511,Rabbit,10
3.150126,Plant,10
3.150126,Rabbit,10
4.157084,Plant,10
4.157084,Rabbit,10
7.42487,Plant,10
7.42487,Rabbit,10
9.532726,Plant,9
9.532726,Rabbit,10
14.75187,Plant,7
14.75187,Rabbit,10
16.82361,Plant,6
16.82361,Rabbit,10
20.98319,Plant,4
20.98319,Rabbit,10
23.12504,Plant,3
23.12504,Rabbit,10
33.71109,Plant,1
33.71109,Rabbit,10
81.59587,Plant,0
81.59587,Rabbit,10
95.9906,Plant,0
95.9906,Rabbit,10
112.4051,Plant,0
112.4051,Rabbit,10
124.6066,Plant,0
124.6066,Rabbit,10
126.6564,Plant,0
126.6564,Rabbit,10
129.7254,Plant,0
129.7254,Rabbit,10
134.8733,Plant,0
134.8733,Rabbit,10
135.8974,Plant,0
135.8974,Rabbit,10
143.0976,Plant,0
143.0976,Rabbit,10
145.1642,Plant,0
145.1642,Rabbit,10
151.3364,Plant,0
151.3364,Rabbit,10
154.4023,Plant,0
154.4023,Rabbit,10
157.4641,Plant,0
157.4641,Rabbit,10
163.6156,Plant,0
163.6156,Rabbit,10
172.8539,Plant,0
172.8539,Rabbit,10
180.0836,Plant,0
180.0836,Rabbit,10
181.0893,Plant,0
181.0893,Rabbit,10
4.158442,Plant,10
4.158442,Rabbit,10
8.547297,Plant,10
8.547297,Rabbit,10
11.58022,Plant,10
11.58022,Rabbit,10
36.99962,Plant,1
36.99962,Rabbit,10
82.69963,Plant,0
82.69963,Rabbit,10
94.86399,Plant,0
94.86399,Rabbit,10
96.89751,Plant,0
96.89751,Rabbit,10
99.90041,Plant,0
99.90041,Rabbit,10
1.019961,Plant,10
1.019961,Rabbit,10
2.049005,Plant,10
2.049005,Rabbit,10
3.067473,Plant,10
3.067473,Rabbit,10
4.18643,Plant,10
4.18643,Rabbit,10
5.195048,Plant,10
5.195048,Rabbit,10
6.425167,Plant,10
6.425167,Rabbit,10
10.59302,Plant,8
10.59302,Rabbit,10
14.22748,Plant,8
14.22748,Rabbit,10
19.27109,Plant,7
19.27109,Rabbit,10
21.27703,Plant,7
21.27703,Rabbit,10
24.31077,Plant,7
24.31077,Rabbit,10
27.35442,Plant,3
27.35442,Rabbit,10
30.43114,Plant,3
30.43114,Rabbit,10
34.52375,Plant,2
34.52375,Rabbit,10
36.5628,Plant,2
36.5628,Rabbit,10
40.62462,Plant,2
40.62462,Rabbit,10
42.69584,Plant,1
42.69584,Rabbit,10
45.77192,Plant,1
45.77192,Rabbit,10
61.15055,Plant,1
61.15055,Rabbit,10
69.32753,Plant,1
69.32753,Rabbit,10
76.50196,Plant,1
76.50196,Rabbit,10
85.78522,Plant,1
85.78522,Rabbit,10
91.97729,Plant,1
91.97729,Rabbit,10
98.16327,Plant,1
98.16327,Rabbit,10
101.2105,Plant,1
101.2105,Rabbit,10
107.3779,Plant,1
107.3779,Rabbit,10
110.4887,Plant,1
110.4887,Rabbit,10
113.5691,Plant,1
113.5691,Rabbit,10
116.6349,Plant,1
116.6349,Rabbit,10
122.8285,Plant,1
122.8285,Rabbit,10
124.8475,Plant,1
124.8475,Rabbit,10
126.9008,Plant,1
126.9008,Rabbit,10
130.9788,Plant,1
130.9788,Rabbit,10
138.2153,Plant,1
138.2153,Rabbit,10
147.4166,Plant,1
147.4166,Rabbit,10
156.7037,Plant,1
156.7037,Rabbit,10
159.7712,Plant,1
159.7712,Rabbit,10
162.8272,Plant,1
162.8272,Rabbit,10
164.8649,Plant,1
164.8649,Rabbit,10
165.9475,Plant,1
165.9475,Rabbit,10
169.0024,Plant,1
169.0024,Rabbit,10
170.0414,Plant,1
170.0414,Rabbit,10
172.0912,Plant,1
172.0912,Rabbit,10
175.1825,Plant,1
175.1825,Rabbit,10
177.2292,Plant,1
177.2292,Rabbit,10
178.2648,Plant,1
178.2648,Rabbit,10
179.2747,Plant,1
179.2747,Rabbit,10
181.3354,Plant,1
181.3354,Rabbit,10
208.8844,Plant,1
208.8844,Rabbit,7
212.0821,Plant,1
212.0821,Rabbit,7
217.5055,Plant,1
217.5055,Rabbit,4
223.8757,Plant,1
223.8757,Rabbit,4
294.4304,Plant,1
294.4304,Rabbit,0
1.005236,Plant,10
1.005236,Rabbit,10
29.34361,Plant,4
29.34361,Rabbit,10
43.49129,Plant,2
43.49129,Rabbit,10
47.54155,Plant,2
47.54155,Rabbit,10
68.76516,Plant,2
68.76516,Rabbit,10
77.67592,Plant,2
77.67592,Rabbit,10
81.18401,Plant,2
81.18401,Rabbit,10
83.6655,Plant,2
83.6655,Rabbit,10
87.0219,Plant,2
87.0219,Rabbit,10
115.333,Plant,2
115.333,Rabbit,10
122.838,Plant,2
122.838,Rabbit,10
180.865,Plant,2
180.865,Rabbit,10
3.960919,Plant,10
3.960919,Rabbit,10
6.341641,Plant,9
6.341641,Rabbit,10
10.68323,Plant,9
10.68323,Rabbit,10
11.84248,Plant,9
11.84248,Rabbit,10
24.1678,Plant,7
24.1678,Rabbit,10
28.3226,Plant,4
28.3226,Rabbit,10
30.33284,Plant,4
30.33284,Rabbit,10
34.47754,Plant,4
34.47754,Rabbit,10
35.48477,Plant,3
35.48477,Rabbit,10
38.56416,Plant,3
38.56416,Rabbit,10
43.69842,Plant,1
43.69842,Rabbit,10
46.75155,Plant,1
46.75155,Rabbit,10
49.8454,Plant,1
49.8454,Rabbit,10
63.17557,Plant,1
63.17557,Rabbit,10
72.41452,Plant,1
72.41452,Rabbit,10
77.62399,Plant,1
77.62399,Rabbit,10
80.70082,Plant,1
80.70082,Rabbit,10
83.7625,Plant,1
83.7625,Rabbit,10
89.92225,Plant,1
89.92225,Rabbit,10
92.95979,Plant,1
92.95979,Rabbit,10
98.09093,Plant,1
98.09093,Rabbit,10
126.6918,Plant,1
126.6918,Rabbit,10
129.753,Plant,1
129.753,Rabbit,10
175.9043,Plant,1
175.9043,Rabbit,10
179.0173,Plant,1
179.0173,Rabbit,10
182.0994,Plant,1
182.0994,Rabbit,10
188.2565,Plant,1
188.2565,Rabbit,10
192.3797,Plant,1
192.3797,Rabbit,10
195.4541,Plant,1
195.4541,Rabbit,10
3.74931,Plant,10
3.74931,Rabbit,10
5.918741,Plant,10
5.918741,Rabbit,10
10.07839,Plant,10
10.07839,Rabbit,10
17.29518,Plant,10
17.29518,Rabbit,10
29.5684,Plant,7
29.5684,Rabbit,10
38.77555,Plant,6
38.77555,Rabbit,10
41.95511,Plant,6
41.95511,Rabbit,10
48.20067,Plant,6
48.20067,Rabbit,10
52.23509,Plant,5
52.23509,Rabbit,10
63.52146,Plant,5
63.52146,Rabbit,10
73.78574,Plant,5
73.78574,Rabbit,10
78.89605,Plant,5
78.89605,Rabbit,10
79.96509,Plant,5
79.96509,Rabbit,10
83.02978,Plant,5
83.02978,Rabbit,10
87.18092,Plant,5
87.18092,Rabbit,10
89.26741,Plant,5
89.26741,Rabbit,10
92.4979,Plant,5
92.4979,Rabbit,10
95.58924,Plant,5
95.58924,Rabbit,10
102.8183,Plant,5
102.8183,Rabbit,10
103.8427,Plant,5
103.8427,Rabbit,10
104.8838,Plant,5
104.8838,Rabbit,10
109.0184,Plant,5
109.0184,Rabbit,10
112.1224,Plant,5
112.1224,Rabbit,10
117.2764,Plant,5
117.2764,Rabbit,10
120.3541,Plant,5
120.3541,Rabbit,10
123.4067,Plant,5
123.4067,Rabbit,10
126.492,Plant,5
126.492,Rabbit,10
145.851,Plant,5
145.851,Rabbit,10
191.3912,Plant,5
191.3912,Rabbit,10
5.970418,Plant,10
5.970418,Rabbit,10
7.519007,Plant,10
7.519007,Rabbit,10
8.562072,Plant,9
8.562072,Rabbit,10
13.7695,Plant,7
13.7695,Rabbit,10
2.490358,Plant,10
2.490358,Rabbit,10
3.511663,Plant,10
3.511663,Rabbit,10
5.815969,Plant,10
5.815969,Rabbit,10
8.175174,Plant,10
8.175174,Rabbit,10
11.73552,Plant,9
11.73552,Rabbit,10
13.93622,Plant,7
13.93622,Rabbit,10
15.11367,Plant,7
15.11367,Rabbit,10
1.040278,Plant,10
1.040278,Rabbit,10
5.287812,Plant,10
5.287812,Rabbit,10
6.455799,Plant,10
6.455799,Rabbit,10
7.708674,Plant,10
7.708674,Rabbit,10
11.62703,Plant,9
11.62703,Rabbit,10
12.8668,Plant,8
12.8668,Rabbit,10
25.0934,Plant,5
25.0934,Rabbit,10
40.42435,Plant,2
40.42435,Rabbit,10
46.54467,Plant,2
46.54467,Rabbit,10
48.55711,Plant,2
48.55711,Rabbit,10
50.63597,Plant,2
50.63597,Rabbit,10
53.71132,Plant,2
53.71132,Rabbit,10
67.10032,Plant,2
67.10032,Rabbit,10
69.19253,Plant,2
69.19253,Rabbit,10
72.23277,Plant,2
72.23277,Rabbit,10
77.37151,Plant,2
77.37151,Rabbit,10
78.38307,Plant,2
78.38307,Rabbit,10
80.39037,Plant,2
80.39037,Rabbit,10
81.44096,Plant,2
81.44096,Rabbit,10
7.692508,Plant,9
7.692508,Rabbit,10
13.02901,Plant,8
13.02901,Rabbit,10
24.30025,Plant,6
24.30025,Rabbit,10
29.3985,Plant,6
29.3985,Rabbit,10
36.51999,Plant,5
36.51999,Rabbit,10
40.57345,Plant,4
40.57345,Rabbit,10
42.59785,Plant,4
42.59785,Rabbit,10
57.78529,Plant,3
57.78529,Rabbit,10
73.13132,Plant,2
73.13132,Rabbit,10
84.43153,Plant,1
84.43153,Rabbit,10
90.58321,Plant,0
90.58321,Rabbit,10
91.69929,Plant,0
91.69929,Rabbit,10
93.71301,Plant,0
93.71301,Rabbit,10
2.378356,Plant,10
2.378356,Rabbit,10
8.552087,Plant,10
8.552087,Rabbit,10
9.586661,Plant,9
9.586661,Rabbit,10
11.6647,Plant,9
11.6647,Rabbit,10
15.34141,Plant,8
15.34141,Rabbit,10
19.26221,Plant,8
19.26221,Rabbit,10
20.52266,Plant,8
20.52266,Rabbit,10
23.06228,Plant,7
23.06228,Rabbit,10
25.49433,Plant,6
25.49433,Rabbit,10
27.88357,Plant,4
27.88357,Rabbit,10
32.50317,Plant,2
32.50317,Rabbit,10
39.85705,Plant,1
39.85705,Rabbit,10
41.25135,Plant,1
41.25135,Rabbit,10
42.4096,Plant,1
42.4096,Rabbit,10
43.49053,Plant,1
43.49053,Rabbit,10
44.78086,Plant,1
44.78086,Rabbit,10
47.30043,Plant,0
47.30043,Rabbit,10
49.96203,Plant,0
49.96203,Rabbit,10
51.22407,Plant,0
51.22407,Rabbit,10
56.06192,Plant,0
56.06192,Rabbit,10
61.18412,Plant,0
61.18412,Rabbit,10
66.31149,Plant,0
66.31149,Rabbit,10
69.35438,Plant,0
69.35438,Rabbit,10
71.37231,Plant,0
71.37231,Rabbit,10
79.64942,Plant,0
79.64942,Rabbit,10
92.8968,Plant,0
92.8968,Rabbit,10
101.107,Plant,0
101.107,Rabbit,10
106.2337,Plant,0
106.2337,Rabbit,10
109.2976,Plant,0
109.2976,Rabbit,10
111.3433,Plant,0
111.3433,Rabbit,10
116.5013,Plant,0
116.5013,Rabbit,10
117.518,Plant,0
117.518,Rabbit,10
118.593,Plant,0
118.593,Rabbit,10
121.6965,Plant,0
121.6965,Rabbit,10
130.8831,Plant,0
130.8831,Rabbit,10
145.254,Plant,0
145.254,Rabbit,10
147.3207,Plant,0
147.3207,Rabbit,10
153.5004,Plant,0
153.5004,Rabbit,10
156.6101,Plant,0
156.6101,Rabbit,10
158.6772,Plant,0
158.6772,Rabbit,10
162.8254,Plant,0
162.8254,Rabbit,10
2.805003,Plant,10
2.805003,Rabbit,10
4.070799,Plant,10
4.070799,Rabbit,10
6.77521,Plant,10
6.77521,Rabbit,10
7.793132,Plant,10
7.793132,Rabbit,10
34.3325,Plant,4
34.3325,Rabbit,10
36.84713,Plant,4
36.84713,Rabbit,10
51.1352,Plant,2
51.1352,Rabbit,10
52.14987,Plant,2
52.14987,Rabbit,10
83.79301,Plant,2
83.79301,Rabbit,10
103.1528,Plant,2
103.1528,Rabbit,10
128.573,Plant,2
